,,Total Verses,Reading 1,vss,Reading 2,vss,Reading 3,vss,Reading 4,vss,,,,,,,,,,,,,,,
1,1/1/16,55,Genesis 1:1-13,13,Matthew 1:1-17,17,Psalm 1:1-6,6,Proverbs 1:1-19,19,,,,,,,,,,,,,,,
2,1/2/16,42,Genesis 1:14-2:3,21,Matthew 1:18-25,8,,,Proverbs 1:20-33,13,,,,,,,,,,,,,,,
3,1/3/16,60,Genesis 2:4-14,11,Matthew 2:1-15,15,Psalm 2:1-12,12,Proverbs 2:1-22,22,,,,,,,,,,,,,,,
4,1/4/16,48,Genesis 2:15-3:19,11,Matthew 2:16-4:17,25,,,Proverbs 3:1-12,12,,,,,,,,,,,,,,,
5,1/5/16,55,Genesis 3:1-19,19,Matthew 4:18-22,5,Psalm 3:1-8,8,Proverbs 3:13-35,23,,,,,,,,,,,,,,,
6,1/6/16,47,Genesis 3:20-24,5,Matthew 4:23-5:12,15,,,Proverbs 4:1-27,27,,,,,,,,,,,,,,,
7,1/7/16,51,Genesis 4:1-12,12,Matthew 5:13-20,8,Psalm 4:1-8,8,Proverbs 5:1-23,23,,,,,,,,,,,,,,,
8,1/8/16,50,Genesis 4:13-26,14,Matthew 5:21-37,17,,,Proverbs 6:1-19,19,,,,,,,,,,,,,,,
9,1/9/16,50,Genesis 5:1-8,8,Matthew 5:38-6:4,15,Psalm 5:1-12,12,Proverbs 6:20-35,15,,,,,,,,,,,,,,,
10,1/10/16,62,Genesis 5:9-32,24,Matthew 6:5-15,11,,,Proverbs 7:1-27,27,,,,,,,,,,,,,,,
11,1/11/16,66,Genesis 6:1-7:24,46,Matthew 6:16-24,9,,,Proverbs 8:1-11,11,,,,,,,,,,,,,,,
12,1/12/16,64,Genesis 8:1-19,19,Matthew 6:25-34,10,Psalm 6:1-10,10,Proverbs 8:12-36,25,,,,,,,,,,,,,,,
13,1/13/16,61,Genesis 8:20-9:17,20,Matthew 7:1-29,29,,,Proverbs 9:1-12,12,,,,,,,,,,,,,,,
14,1/14/16,52,Genesis 9:18-29,12,Matthew 8:1-17,17,Psalm 7:1-17,17,Proverbs 9:13-18,6,,,,,,,,,,,,,,,
15,1/15/16,68,Genesis 10:1-32,32,Matthew 8:18-9:8,25,Psalm 8:1-9,9,Proverbs 10:1-2,2,,,,,,,,,,,,,,,
16,1/16/16,60,Genesis 11:1-32,32,Matthew 9:9-34,26,,,Proverbs 10:3-4,2,,,,,,,,,,,,,,,
17,1/17/16,61,Genesis 12:1-20,20,Matthew 9:35-10:15,19,Psalm 9:1-20,20,Proverbs 10:5-6,2,,,,,,,,,,,,,,,
18,1/18/16,62,Genesis 13:1-14:24,42,Matthew 10:16-33,18,,,Proverbs 10:7-8,2,,,,,,,,,,,,,,,
19,1/19/16,66,Genesis 15:1-16:15,36,Matthew 10:34-11:1,10,Psalm 10:1-18,18,Proverbs 10:9-10,2,,,,,,,,,,,,,,,
20,1/20/16,54,Genesis 17:1-27,27,Matthew 11:2-19,18,Psalm 11:1-7,7,Proverbs 10:11-12,2,,,,,,,,,,,,,,,
21,1/21/16,60,Genesis 18:1-33,33,Matthew 11:20-12:14,24,,,Proverbs 10:13-15,3,,,,,,,,,,,,,,,
22,1/22/16,60,Genesis 19:1-20:18,52,Matthew 12:15-21,7,,,Proverbs 10:16,1,,,,,,,,,,,,,,,
23,1/23/16,65,Genesis 19:1-38,34,Matthew 12:22-42,21,Psalm 12:1-8,8,Proverbs 10:17-18,2,,,,,,,,,,,,,,,
24,1/24/16,58,Genesis 20:1-18,18,Matthew 12:43-13:30,38,,,Proverbs 10:19-20,2,,,,,,,,,,,,,,,
25,1/25/16,62,Genesis 21:1-34,34,Matthew 13:31-50,20,Psalm 13:1-6,6,Proverbs 10:21-22,2,,,,,,,,,,,,,,,
26,1/26/16,54,Genesis 22:1-23:20,44,Matthew 13:51-58,8,,,Proverbs 10:23-24,2,,,,,,,,,,,,,,,
27,1/27/16,60,Genesis 24:1-15,15,Matthew 14:1-36,36,Psalm 14:1-7,7,Proverbs 10:24-25,2,,,,,,,,,,,,,,,
28,1/28/16,57,Genesis 24:16-61,46,Matthew 15:1-9,9,,,Proverbs 10:26-27,2,,,,,,,,,,,,,,,
29,1/29/16,61,Genesis 24:62-26:5,44,Matthew 15:10-20,10,Psalm 15:1-5,5,Proverbs 10:28-29,2,,,,,,,,,,,,,,,
30,1/30/16,62,Genesis 26:6-35,30,Matthew 15:21-39,19,Psalm 16:1-11,11,Proverbs 10:29-30,2,,,,,,,,,,,,,,,
31,1/31/16,60,Genesis 27:1-46,46,Matthew 16:1-12,12,,,Proverbs 10:31-32,2,,,,,,,,,,,,,,,
32,2/1/16,55,Genesis 28:1-22,22,Matthew 16:13-28,16,Psalm 17:1-15,15,Proverbs 11:1-2,2,,,,,,,,,,,,,,,
33,2/2/16,64,Genesis 29:1-35,35,Matthew 17:1-27,27,,,Proverbs 11:3-4,2,,,,,,,,,,,,,,,
34,2/3/16,64,Genesis 30:1-24,24,Matthew 18:1-14,14,Psalm 18:1-24,24,Proverbs 11:5-6,2,,,,,,,,,,,,,,,
35,2/4/16,66,Genesis 30:25-43,19,Matthew 18:15-35,20,Psalm 18:25-50,25,Proverbs 11:7-8,2,,,,,,,,,,,,,,,
36,2/5/16,67,Genesis 31:1-21,21,Matthew 19:1-30,30,Psalm 19:1-14,14,Proverbs 11:9-10,2,,,,,,,,,,,,,,,
37,2/6/16,61,Genesis 31:22-55,34,Matthew 20:1-16,16,Psalm 20:1-9,9,Proverbs 11:11-12,2,,,,,,,,,,,,,,,
38,2/7/16,60,Genesis 32:1-32:32,32,Matthew 20:17-28,12,Psalm 21:1-13,13,Proverbs 11:13-15,3,,,,,,,,,,,,,,,
39,2/8/16,54,Genesis 33:1-20,20,Matthew 20:29-21:27,32,,,Proverbs 11:16-17,2,,,,,,,,,,,,,,,
40,2/9/16,52,Genesis 34:1-31,31,Matthew 21:28-46,19,,,Proverbs 11:18-19,2,,,,,,,,,,,,,,,
41,2/10/16,64,Genesis 35:1-29,29,Matthew 22:1-33,33,,,Proverbs 11:20-21,2,,,,,,,,,,,,,,,
42,2/11/16,60,Genesis 36:1-37:1,45,Matthew 23:34-46,13,,,Proverbs 11:22-23,2,,,,,,,,,,,,,,,
43,2/12/16,65,Genesis 37:2-36,35,Matthew 24:1-28,28,,,Proverbs 11:24-25,2,,,,,,,,,,,,,,,
44,2/13/16,55,Genesis 38:1-30,30,Matthew 24:29-51,23,,,Proverbs 11:26-27,2,,,,,,,,,,,,,,,
45,2/14/16,68,Genesis 39:1-23,23,Matthew 25:1-13,13,Psalm 22:1-31,31,Proverbs 11:28,1,,,,,,,,,,,,,,,
46,2/15/16,59,Genesis 40:1-23,23,Matthew 25:14-46,33,,,Proverbs 11:29-31,3,,,,,,,,,,,,,,,
47,2/16/16,60,Genesis 41:1-36,36,Matthew 26:1-16,16,Psalm 23:1-6,6,Proverbs 12:1-2,2,,,,,,,,,,,,,,,
48,2/17/16,63,Genesis 41:37-57,21,Matthew 26:17-56,40,,,Proverbs 12:3-4,2,,,,,,,,,,,,,,,
49,2/18/16,62,Genesis 42:1-38,38,Matthew 26:57-68,12,Psalm 24:1-10,10,Proverbs 12:5-6,2,,,,,,,,,,,,,,,
50,2/19/16,62,Genesis 43:1-34,34,Matthew 27:1-26,26,,,Proverbs 12:7-8,2,,,,,,,,,,,,,,,
51,2/20/16,61,Genesis 43:16-34,19,Matthew 27:27-44,18,Psalm 25:1-22,22,Proverbs 12:9-10,2,,,,,,,,,,,,,,,
52,2/21/16,58,Genesis 44:1-34,34,Matthew 27:45-66,22,,,Proverbs 12:11-12,2,,,,,,,,,,,,,,,
53,2/22/16,61,Genesis 45:1-28,27,Matthew 28:1-20,20,Psalm 26:1-12,12,Proverbs 12:13-14,2,,,,,,,,,,,,,,,
54,2/23/16,64,Genesis 46:1-34,34,Mark 1:1-28,28,,,Proverbs 12:15-16,2,,,,,,,,,,,,,,,
55,2/24/16,63,Genesis 47:1-31,31,Mark 1:29-45,16,Psalm 27:1-14,14,Proverbs 12:17-18,2,,,,,,,,,,,,,,,
56,2/25/16,52,Genesis 48:1-22,22,Mark 2:1-28,28,,,Proverbs 12:19-20,2,,,,,,,,,,,,,,,
57,2/26/16,56,Genesis 49:1-33,33,Mark 3:1-12,12,Psalm 28:1-9,9,Proverbs 12:21-22,2,,,,,,,,,,,,,,,
58,2/27/16,52,Genesis 50:1-26,27,Mark 3:13-35,23,,,Proverbs 12:23-24,2,,,,,,,,,,,,,,,
59,2/28/16,64,Exodus 1:1-22,22,Mark 4:1-29,29,Psalm 29:1-11,11,Proverbs 12:25-26,2,,,,,,,,,,,,,,,
60,2/29/16,,,,,,,,,,,,,,,,,,,,,,,,
61,3/1/16,59,Exodus 2:1-25,25,Mark 4:30-5:20,32,,,Proverbs 12:27-28,2,,,,,,,,,,,,,,,
62,3/2/16,64,Exodus 3:1-22,22,Mark 5:21-6:6,28,Psalm 30:1-12,12,Proverbs 13:1-2,2,,,,,,,,,,,,,,,
63,3/3/16,56,Exodus 4:1-31,31,Mark 6:7-29,23,,,Proverbs 13:3-4,2,,,,,,,,,,,,,,,
64,3/4/16,64,Exodus 5:1-23,23,Mark 6:30-44,15,Psalm 31:1-24,24,Proverbs 13:5-6,2,,,,,,,,,,,,,,,
65,3/5/16,57,Exodus 6:1-30,30,Mark 6:45-7:13,25,,,Proverbs 13:7-8,2,,,,,,,,,,,,,,,
66,3/6/16,62,Exodus 7:1-25,25,Mark 7:14-37,24,Psalm 32:1-11,11,Proverbs 13:9-10,2,,,,,,,,,,,,,,,
67,3/7/16,64,Exodus 8:1-32,32,Mark 8:1-30,30,,,Proverbs 13:11-12,2,,,,,,,,,,,,,,,
68,3/8/16,60,Exodus 9:1-35,35,Mark 8:31-9:13,22,,,Proverbs 13:13-15,3,,,,,,,,,,,,,,,
69,3/9/16,68,Exodus 10:1-29,29,Mark 9:14-29,16,Psalm 33:1-22,22,Proverbs 13:16,1,,,,,,,,,,,,,,,
